Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Snowbird,Salt Lake City,Utah,11000.0,3240.0,7760.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,3.0,14.0,170.0,1.0,2.5,2500.0,0.0,188.0,48.0,Salt Lake City,125.0,125.0,180.0,2.0
Solitude Mountain Resort,Salt Lake City,Utah,10488.0,2494.0,7994.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,9.0,80.0,0.0,3.0,1200.0,150.0,161.0,62.0,Salt Lake City,109.0,119.0,148.0,0.0
Sundance,Utah,Utah,8250.0,2150.0,6100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,45.0,1.0,0.6,450.0,112.0,128.0,50.0,Utah,80.0,80.0,129.0,0.0
Nordic Valley Resort,Utah,Utah,6400.0,960.0,5440.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,23.0,1.0,0.4,140.0,84.0,105.0,51.0,Utah,45.0,50.0,105.0,140.0
Bolton Valley,Vermont,Vermont,3150.0,1704.0,1446.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,6.0,71.0,3.0,0.6,300.0,90.0,133.0,53.0,Vermont,69.0,79.0,132.0,50.0
Bromley Mountain,Vermont,Vermont,3284.0,1334.0,1950.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,9.0,47.0,1.0,2.5,178.0,153.0,152.0,83.0,Vermont,87.0,91.0,152.0,0.0
Burke Mountain,Vermont,Vermont,3267.0,2011.0,1210.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,50.0,3.0,2.2,178.0,125.0,110.0,62.0,Vermont,73.0,73.0,125.0,0.0
Jay Peak,Vermont,Vermont,3968.0,2153.0,1815.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,9.0,79.0,2.0,3.0,385.0,300.0,155.0,64.0,Vermont,89.0,89.0,160.0,0.0
Killington Resort,Vermont,Vermont,4241.0,3050.0,1165.0,3.0,0.0,1.0,5.0,4.0,3.0,1.0,5.0,22.0,155.0,6.0,6.0,1515.0,600.0,192.0,61.0,Vermont,119.0,119.0,192.0,0.0
Mad River Glen,Vermont,Vermont,3637.0,2037.0,1600.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,52.0,0.0,1.0,115.0,16.0,134.0,71.0,Vermont,57.91695652173913,64.1668100358423,135.0,0.0
Magic Mountain,Vermont,Vermont,2850.0,1500.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,50.0,1.0,1.6,205.0,95.0,76.0,59.0,Vermont,74.0,74.0,80.0,0.0
Mount Snow,Vermont,Vermont,3600.0,1700.0,1900.0,0.0,0.0,1.0,3.0,1.0,6.0,4.0,5.0,20.0,86.0,10.0,3.0,600.0,480.0,135.0,65.0,Vermont,57.91695652173913,64.1668100358423,135.0,0.0
Okemo Mountain Resort,Vermont,Vermont,3344.0,2200.0,1144.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,7.0,20.0,121.0,9.0,4.0,667.0,654.0,146.0,63.0,Vermont,57.91695652173913,64.1668100358423,152.0,0.0
Pico Mountain ,Vermont,Vermont,3967.0,1967.0,2000.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,7.0,59.0,1.0,4.0,260.0,156.0,114.7324414715719,82.0,Vermont,81.0,81.0,120.26086956521739,0.0
Smugglers' Notch Resort,Vermont,Vermont,3640.0,2610.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0,78.0,6.0,3.0,1000.0,192.0,136.0,63.0,Vermont,79.0,79.0,135.0,0.0
Stowe Mountain Resort,Vermont,Vermont,4395.0,2360.0,2035.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,12.0,116.0,0.0,3.7,485.0,388.0,155.0,86.0,Vermont,57.91695652173913,64.1668100358423,137.0,0.0
Stratton Mountain,Vermont,Vermont,3875.0,2003.0,1872.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,11.0,99.0,4.0,3.0,670.0,474.0,155.0,58.0,Vermont,57.91695652173913,64.1668100358423,160.0,0.0
Sugarbush,Vermont,Vermont,4083.0,2600.0,1483.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,3.0,16.0,111.0,4.0,3.0,581.0,406.0,150.0,61.0,Vermont,119.0,119.0,156.0,0.0
Suicide Six,Vermont,Vermont,1200.0,650.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,24.0,0.0,0.4,100.0,50.0,100.0,85.0,Vermont,45.0,75.0,106.0,0.0
Bryce Resort,Virginia,Virginia,1750.0,500.0,1250.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,7.0,8.0,0.0,0.4,25.0,25.0,100.0,54.0,Virginia,43.0,68.0,95.0,20.0
